Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2017-10-13 21:21:52;2017-10-14 06:00:36;89%;8:38;;;0;0
2017-10-15 22:14:46;2017-10-16 05:59:54;70%;7:45;;;0;0
2017-10-16 22:08:02;2017-10-17 05:58:17;94%;7:50;;;0;0
2017-10-17 21:43:22;2017-10-18 06:03:00;78%;8:19;;;0;0
2017-10-18 22:11:28;2017-10-19 06:05:14;67%;7:53;;;0;0
2017-10-20 23:50:48;2017-10-21 05:40:33;50%;5:49;;;0;4054
2017-10-21 22:15:11;2017-10-22 06:20:44;100%;8:05;;;0;1351
2017-10-22 22:12:19;2017-10-23 06:00:06;92%;7:47;;;0;3382
2017-10-23 22:40:23;2017-10-24 05:59:35;85%;7:19;;;0;379
2017-10-24 23:10:20;2017-10-25 06:01:09;73%;6:50;;;0;3732
2017-10-25 23:41:48;2017-10-26 07:30:38;81%;7:48;;;0;2509
2017-10-26 23:04:46;2017-10-27 09:36:50;75%;10:32;;;0;4159
2017-10-29 22:54:58;2017-10-30 05:58:04;80%;7:03;;;0;132
2017-10-30 23:12:07;2017-10-31 07:27:12;85%;8:15;;;0;2082
2017-10-31 22:38:48;2017-11-01 06:13:39;74%;7:34;;;0;9461
2017-11-02 00:00:50;2017-11-02 07:45:16;79%;7:44;;;0;565
2017-11-02 22:53:10;2017-11-03 06:00:48;80%;7:07;;;0;3795
2017-11-03 21:57:46;2017-11-04 06:00:27;95%;8:02;;;0;6821
2017-11-05 02:24:59;2017-11-05 08:35:34;69%;6:10;;;0;3270
2017-11-05 22:09:27;2017-11-06 06:09:48;77%;8:00;;;0;1717
2017-11-06 23:28:27;2017-11-07 07:30:38;67%;8:02;;;0;12713
2017-11-07 22:49:04;2017-11-08 07:30:35;84%;8:41;;;0;1308
2017-11-09 22:28:49;2017-11-10 07:29:43;77%;9:00;;;0;12873
2017-11-11 01:50:40;2017-11-11 07:54:28;67%;6:03;;;0;2261
2017-11-12 00:13:32;2017-11-12 08:09:49;79%;7:56;;;0;13183
2017-11-13 01:10:42;2017-11-13 08:48:27;62%;7:37;;;0;442
2017-11-13 22:45:54;2017-11-14 07:35:08;76%;8:49;;;0;383
2017-11-14 23:20:45;2017-11-15 07:34:19;90%;8:13;;;0;11868
2017-11-15 23:31:34;2017-11-16 07:34:30;85%;8:02;;;0;11652
2017-11-17 01:16:33;2017-11-17 08:55:35;76%;7:39;;;0;1406
2017-11-18 00:42:57;2017-11-18 08:55:37;87%;8:12;;;0;318
2017-11-19 02:46:06;2017-11-19 10:55:03;89%;8:08;;;0;3106
2017-11-19 22:28:43;2017-11-20 07:34:34;90%;9:05;;;0;1345
2017-11-20 22:56:11;2017-11-21 07:34:51;100%;8:38;;;0;653
2017-11-21 23:34:11;2017-11-22 07:35:10;78%;8:00;;;0;16763
2017-11-22 22:35:02;2017-11-23 05:13:47;72%;6:38;;;0;667
2017-11-23 22:24:51;2017-11-24 06:46:04;83%;8:21;;;0;3093
2017-11-25 01:46:27;2017-11-25 10:08:51;88%;8:22;;;0;1313
2017-11-25 23:17:06;2017-11-26 07:30:39;89%;8:13;;;0;2413
2017-11-26 23:28:03;2017-11-27 06:49:09;95%;7:21;;;0;1788
2017-11-27 22:03:34;2017-11-28 06:55:26;100%;8:51;;;0;9759
2017-11-28 20:48:51;2017-11-29 06:42:40;100%;9:53;;;0;8808
2017-11-29 21:52:23;2017-11-30 06:48:52;100%;8:56;;;0;13698
2017-11-30 22:09:52;2017-12-01 06:59:10;92%;8:49;;;0;3828
2017-12-03 01:22:12;2017-12-03 09:28:55;88%;8:06;;;0;3596
2017-12-03 22:39:17;2017-12-04 07:08:05;85%;8:28;;;0;2557
2017-12-04 22:52:13;2017-12-05 07:10:51;88%;8:18;;;0;1683
2017-12-05 22:54:58;2017-12-06 07:10:35;79%;8:15;;;0;1357
2017-12-07 22:34:47;2017-12-08 06:29:55;85%;7:55;;;0;3701
2017-12-08 23:13:24;2017-12-09 06:50:39;98%;7:37;;;0;3926
2017-12-09 23:55:42;2017-12-10 07:50:35;99%;7:54;;;0;7598
2017-12-11 00:25:45;2017-12-11 07:45:08;65%;7:19;;;0;1617
2017-12-12 01:32:55;2017-12-12 10:59:41;89%;9:26;;;0;17643
2017-12-12 23:07:40;2017-12-13 09:53:15;92%;10:45;;;0;10879
2017-12-13 23:10:03;2017-12-14 07:40:24;80%;8:30;;;0;12016
2017-12-14 23:36:12;2017-12-15 08:29:49;91%;8:53;;;0;11949
2017-12-17 22:13:45;2017-12-18 08:10:26;79%;9:56;;;0;3727
2017-12-18 22:48:44;2017-12-19 07:28:26;91%;8:39;;;0;8991
2017-12-19 22:30:44;2017-12-20 07:28:37;88%;8:57;;;0;347
2017-12-21 00:41:32;2017-12-21 08:45:32;68%;8:04;;;0;4161
2017-12-24 02:20:38;2017-12-24 08:00:58;62%;5:40;;;0;2891
2017-12-24 22:58:51;2017-12-25 07:40:09;90%;8:41;;;0;1157
2017-12-25 23:26:25;2017-12-26 09:10:27;100%;9:44;;;0;986
2017-12-28 00:34:51;2017-12-28 07:09:41;74%;6:34;;;0;996
2017-12-29 01:03:06;2017-12-29 08:50:40;89%;7:47;;;0;2881
2017-12-30 03:12:00;2017-12-30 10:30:25;90%;7:18;;;0;5520
2017-12-30 22:17:41;2017-12-31 07:39:45;97%;9:22;;;0;4039
2018-01-01 22:43:23;2018-01-02 07:25:43;100%;8:42;;;0;2253
2018-01-03 00:32:43;2018-01-03 09:43:20;83%;9:10;;;0;13501
2018-01-03 23:39:09;2018-01-04 08:40:56;94%;9:01;;;0;701
2018-01-04 23:06:09;2018-01-05 08:09:44;100%;9:03;;;0;548
2018-01-06 00:30:08;2018-01-06 08:30:31;91%;8:00;;;0;161
2018-01-07 01:41:03;2018-01-07 09:40:05;93%;7:59;;;0;2160
2018-01-07 22:32:04;2018-01-08 06:29:46;89%;7:57;;;0;719
2018-01-08 23:23:39;2018-01-09 06:29:53;81%;7:06;;;0;4760
2018-01-09 22:48:48;2018-01-10 06:29:43;80%;7:40;;;0;5574
2018-01-11 02:34:48;2018-01-11 06:51:48;46%;4:16;;;0;5484
2018-01-13 01:58:00;2018-01-13 09:59:54;97%;8:01;;;0;785
2018-01-14 01:46:55;2018-01-14 10:00:35;100%;8:13;;;0;573
2018-01-15 01:30:12;2018-01-15 09:59:45;95%;8:29;;;0;670
2018-01-15 23:35:00;2018-01-16 07:04:52;86%;7:29;;;0;773
2018-01-17 00:06:33;2018-01-17 07:04:41;73%;6:58;;;0;5695
2018-01-17 23:46:28;2018-01-18 07:05:21;83%;7:18;;;0;4013
2018-01-18 23:29:49;2018-01-19 07:04:42;83%;7:34;;;0;5307
2018-01-21 23:19:19;2018-01-22 06:54:57;63%;7:35;;;0;4145
2018-01-22 22:55:39;2018-01-23 06:54:11;88%;7:58;;;0;15730
2018-01-23 23:32:57;2018-01-24 07:04:17;76%;7:31;;;0;4885
2018-01-25 00:34:56;2018-01-25 06:40:27;71%;6:05;;;0;5101
2018-01-26 00:05:08;2018-01-26 07:00:02;78%;6:54;;;0;6155
2018-01-26 23:54:05;2018-01-27 08:30:01;90%;8:35;;;0;2724
2018-01-28 02:47:22;2018-01-28 09:56:15;83%;7:08;;;0;0
